index,text
444,"Большой опыт работы по эксплуатации и ремонту автотранспорта.Опыт и навыки эксплуатации и ремонта оборудования пищевой промышленности
Работа в сфере торговли
Наладка, ремонт,эксплуатация линии по переработке птицы
Ответственность за техническое состояние автотранспорта,зданий и сооружений,коммуникаций.| Охрана труда| Пожарная безопасность |
Бригадир аппаратчиков оборудования по латексной покраске сыров.| Настройка, наладка и эксплуатация покрасочной машины"
445,"Ремонт верхнего строения пути, текущее содержание пути
Сбор дебетовой задолженности, досудебное урегулирование с абонентами, инвентаризация помещений абонентов на наличие бездоговорного потребления
Планирование и контроль выполнение капитального ремонта пути, планирование и контроль исполнения текущего и капитального ремонта зданий, противопожарная безопасность предприятия, экологическая безопасность предприятия, имущественный комплекс предприятия.
Экономический анализ предприятия, формирования планов расходов и доходов предприятия, контроль их исполнения, договорная работа с арендаторами, договора ГПХ, формирование штатного расписания предприятия"
446,"Участие в подготовке и согласовании договора подряда на строительство объекта.
Участие в подготовке и обосновании предложения о начальной цене контракта при проведении торгов на размещение заказов в строительстве, в том числе государственных и муниципальных.
Осуществление проверок получаемой от заказчика сметной документации и подготовку заключения о ее составе и качестве.
Согласование с заказчиком и проектной организацией локальные сметы, индивидуальные сметные ресурсные нормы и расценки на строительно-монтажные работы, калькуляции сметной стоимости материальных ресурсов, стоимости машино-часа эксплуатации строительных машин (в том числе новых высокоэффективных, импортных машин), индивидуальные нормы накладных расходов и сметной прибыли, расчеты стоимости работ и затрат, предусмотренные сводным сметным расчетом стоимости строительства.
Рассчет стоимость строительства, в том числе по отдельным ее составляющим.
Участие в выборе наиболее оптимальной схемы расчетов за выполненные работы между заказчиком и подрядчиком.
Ведение учета оплаченных заказчиком выполненных работ.
Участие в контрольных обмерах выполненных строительно-монтажных работ.
Составление сметы на дополнительные виды работ, затраты на выполнение которых не предусмотрены в соответствующих расценках, и согласование их с заказчиком и проектной организацией.
Участие в подготовке проектов договоров поставки материальных ресурсов с их поставщиками (производителями, посредниками), в согласовании изменений условий по вопросам ценообразования по заключенным договорам поставки"
447,"Знание ПК на уровне уверенного пользователя, MS Word, MS Excel, знание орг.техники, 1С 8.3., знание законодательной и нормативной базы в области бухгалтерского учета, первичная бухгалтерская документация, ведение бухгалтерского и налогового учета, навыки расчета заработной платы, больничных, компенсаций, оформление приходных и расходных накладных, приходных и расходных кассовых ордеров, учет ОС, учет ТМЦ, знание бухгалтерских проводок"
448,"Способная к обучению, умею организовать свою работу и имею опыт работы в своей профессии
Работа в процедурном кабинете: взятие всевозможных анализов, их оформление, проведение внутривенных и внутримышечных процедур (работа с венами любой сложности), ассистирование врачам, снятие ЭКГ и ЭЭГ, постановка холтера.
Работа на регистратуре: ведение записи к врачам, информирование пациентов о правилах сдачи анализов и подготовки к обследованиям, оформление пациентов, работа с кассовым аппаратом
Работа в хирургическом стационаре, работа в процедурном кабинете
Работа на регистратуре: ведение записи к врачам, оформление пациентов, работа с кассовым аппаратом.Работа в процедурном кабинете: взятие всевозможных анализов, их оформление, проведение внутривенных и внутримышечных процедур, ассистирование врачам
Работа в процедурном кабинете на заборе анализов крови, постановка инъекций.
Работа в кардиологическом отделении -уход и лечение пациентов
Работа на регистратуре: ведение записи к врачам, оформление пациентов, работа с кассовым аппаратом.
Работа в процедурном кабинете: взятие всевозможных анализов, их оформление, проведение внутривенных и внутримышечных процедур (работа с венами любой сложности), ассистирование врачам
Работа в процедурном кабинете на заборе анализов крови, постановка инъекций и инфузий.Работа в кардиологическом отделении -уход и лечение пациентов.Работа в кабинете профилактики и на приеме с врачами
Работа на регистратуре: ведение записи к врачам, оформление пациентов, работа с кассовым аппаратом, консультирование по выбору врача, рекомендации по сдачи анализов.
Работа в процедурном кабинете: взятие всевозможных анализов, их оформление, проведение внутривенных и внутримышечных процедур, ассистирование врачам: лору, гинекологу, урологу и др.| снятие ЭКГ и ЭЭГ, постановка холтера"
449,"Ведение личных дел спортсменов, учет и анализ соревновательной деятельности, составление графика тренировок, приказов.
Формирование и учёт списков спортсменов для прохождения углубленного медицинского обследования, прием нормативов, анализ динамики, работа с тренерами участие в проведении соревнований и многое другое
Проведение фитнес тестирования, сбор анамнеза, составление рекомендаций и противопоказаний к занатиям,составление тренировочного плана и рекомендаций к посещению различных площадок клуба.
Отсьеживание динамики.
Ведение клиентов в направлении нутрициологии, составление программ питания.
Оказание ПМП, внедрение новых направлений тренировок, проведение и организация спортивных мероприятий"
450,"Выполнение обязанностей администратора| Замещение управляющего состава| Работа с покупателями в.т.
и личные продажи| Открытие и закрытие смены на кассе, проведение инкассации| Оформление продажи на кассе (кассовый аппарат, наличный и безналичный расчет с клиентом)| Прием и возврат товара| Выкладка товара по правилам мерчендайзинга| Выполнение обязанностей Управляющего во время его отсутствия|
Замещение директора в его отсутствие| Руководство персоналом торгового зала| Составление графиков работы сотрудников| Работа с покупателями в.т.
и личные продажи| Разрешение конфликтных ситуаций как с покупателями так и внутри коллектива| Обучение и мотивация персонала торгового зала| Организация работы по выкладке товара (мерчендайзинг)| Контроль за порядком в торговом зале| Контроль и обеспечение качественного обслуживания посетителей| Прием и возврат товара| Оформление продажи на кассе (кассовый аппарат, управленческая база| 1С,наличный и безналичный расчет с клиентом)| Открытие и закрытие смены на кассе, проведение инкассации|"
451,"УЗИ мочевого пзыря УЗИ органов брюшной полости УЗИ молочных желез с регионарными лимфоузлами УЗИ мочевого пузыря УЗИ мошонки УЗИ надпочечников УЗИ органов малого таза( трансабдоминально, трансвагинально) УЗИ Слюнных желез УЗИ печени, желчного пузыря УЗИ почек УЗИ предстательной железы, органов малого таза ( ТРУЗИ, абдоминально) УЗИ щитовидной железы и регионарных лимфоузлов"
452,"Есть опыт проведения психодиагностического исследования и написания заключения ЭПИ
Ежедневные обязанности включали в себя:встреча станций, посадка и высадка пассажиров, обслуживание пассажиров, продажу продукции компании, уборку вагона, наблюдение за состоянием электрооборудования, поддержание комфортной температуры в вагоне, очистку подвагонного оборудования от снега и наледи, ведение документации.Работала на пассажирских и фирменных поездах.Работала 3 раза летом и 1 раз в период новогодних праздников"
453,"дисциплинированность| организованность, самодисциплина| ответственность| предусмотрительность| пунктуальность
создание ИСОГД (Информационная система обеспечения градостроительной деятельности)| ведение классификатора для ИСОГД| ведение архива Геоинформационной системы ЦКАД (ГИС ЦКАД)
руководство бригадами| постановка задач и планирование работ| контроль производства общестроительных работ, а так же корректировка в соответствии с проектом| контроль производства отделочных работ| | составление заявок на материалы| взаимодействие с заказчиком| взаимодействие с арендодателем| взаимодействие с архитекторами и проектировщиками| расчет объемов материала и последующая закупка
проектирование инженерной подготовки, благоустройства территории| выполнение чертежей генерального плана, разбивочного плана (генплан), плана организации рельефа (вертикальная планировка), плана земляных масс (картограмма), плана благоустройства территории (план покрытий, план озеленения), поперечного профиля площадок, проездов, дорожек и тротуаров| проработка различных вариантов для выявления прогрессивных архитектурных решений| увязка принимаемых проектных решений с проектными решениями по другим разделам (частям) проекта"
454,"Консультирование детей и взрослых.
Развивающие занятия с детьми.
Индивидуальная коррекционно-развивающая работа с детьми.
Работа с детьми с психосоматическими расстройствами
Диагностика готовности к школьному обучению.
Адаптация к обучению в школе.
Профориентация старшеклассников.
Диагностика эмоционального состояния и работа с кризисными детьми.
Проведение тренингов.
Консультирование детей, подростков, родителей, учителей, администрации.
Диагностика причин трудностей в обучении.
Профилактическая работа.
Развивающие занятия с детьми, имеющими трудности в обучении
Адаптация детей к детскому саду.
Консультирование родителей и воспитателей по вопросам адаптации и развития.
Развивающие занятия с детьми"
455,"Перевозки пассажиров
Обеспечение бесперебойной работы и ремонта спец.техники участка.| Диагностика техники.| Контроль за обеспечением ГСМ.| Контроль за работой операторов, слесарей.| Управление работой операторов.| Разработка заданий слесарям.| Отправка/прием техники в/с работы.| Контроль путевых листов.| Заказ запчастей.|
Контроль и учёт оборудования и материалов, закупка материалов и оборудования
Обучение вождению автомототранспортных средств кат.""A,B,C""
Испытание беспилотных автомобилей.
Отчёты по работе систем беспилотных автомобилей.|"
456,"учёт автомобилей, запасных частей, ТМЦ, расходов на продажу| касса, банк (51,52,55,57), работа с ККМ| расчеты с поставщиками и подрядчиками, подотчетными лицами| учёт товаров, принятых на комиссию| книга покупок, книга продаж| составление договоров подряда| учёт путевых листов| инвентаризация остатков запасных частей на складах"
457,"Инженер-строитель.
Промышленное и гражданское строительство.
безопасности.
3.
НКСЭ.
Инженер.
Строительство -эксплуатация нефтегазопроводов-нефтегазохранилищ.
p Опыт.
- Инженер технического надзора.
Строил муниципальные объекты (сваи, монолит, сборные Ж/Б конструкции, сети).
- Начальник участка.
Строил монолитные 3 - 15 - 20 этажные дома.
Авторский надзор.
Строил автодороги, путепроводов.
Руководил асфальтобетонным заводом.
Строил мосты (от свай до сдачи в эксплуатацию).
Строил мазутный терминал (сваи, монолит, сборные Ж/Б конструкции, резервуары, сети, Ж/Д составляющую).
Комплексное строительство (монолит, сборные Ж/Б конструкции, сети).
Производитель работ.
Строил инспекционно-досмотровый комплекс для таможни.
Комплексное строительство (сваи, монолит, сборные Ж/Б конструкции, сети).
Руководство личным составом.
Решение поставленных - оперативных задач.
Знание и опыт ведения, порядка составления разрешительной и исполнительной документации.
Ведение переговоров, совещаний.
Составление графиков проведения строительно-монтажных и пусконаладочных работ, контроль за их выполнением| Составление заявок и графиков поставки материалов и оборудования, отслеживание их реализации| Выполнение пусконаладочных работ и ввод в эксплуатацию законченных строительством объектов| Контроль выполнения объемов и качества работ.
Уверенный пользователь ПК.
Допуск по электробезопасности группа 4.
Работа в программах: Гранд смета, Автокад, Office Word, Office Excel.
Допуск по промышленной безопасности.
Опыт работы с автомобильными механизмами и грузоподъемными механизмами"
458,"отправка почтовой корреспонденции- составление актов сверки-отслеживать оплаты и фиксировать их
Выполнение распоряжений, приказов руководства фирмы, в осуществлении своей деятельности в строгом соответствии с ними|- Разработка проекта документов по всем вопросам управленческой деятельности организации|- Редактировать, контролировать качество подготовки, грамотность, правильность составления, согласования документов, представляемых на подпись руководству организации|- Вести прием, учет и хранение корреспонденции, осуществлять обработку входящих документов, оформлять и соблюдать порядок работы с внутренними документами, рассылать исходящую документы|- Систематизировать документацию текущего архива, проводить ежегодный отбор документов на архивное хранение или выделять к уничтожению|- Обеспечивать сохранность и конфиденциальность коммерческой информации|- В соответствии с резолюцией руководства организации передавать документы непосредственным исполнителям в структурные подразделения|- Осуществлять документирование деятельности совещательных и коллегиальных органов предприятия|- Фиксировать, обрабатывать и своевременно доводить до сведения руководства и работников принятую информацию, касающуюся различных сторон деятельности организации|- Планировать рабочий день руководства, назначать встречи клиентам, партнерам и работникам организации как по производственным, так и личным вопросам.- Заниматься организационными и техническими вопросами проведения совещаний, деловых встреч и переговоров| обеспечивать прием посетителей|- Контролировать исполнение документов, поручений и заданий руководства, принимать оперативные меры, направленные на своевременное и качественное их выполнение|- Способствовать оперативному принятию решений со стороны руководства и своевременно доводить их до сведения работников|- Осуществлять оперативную связь со сторонними предприятиями и гражданами по вопросам текущей деятельности предприятия|- Оформлять машинописные и копировально-множительные работы|- Выполнять отдельные поручения руководства по профилю финансово-хозяйственной и управленческой деятельности организации|- Поддерживать чистоту и порядок на своем рабочем месте, следить за порядком в офисе, соблюдением санитарных и технических правил, правил противопожарной безопасности"
459,"Обладаю всеми необходимыми навыками и качествами для работы с клиентами: упорность в достижении целей, активность, коммуникабельность, легкость в общении, способность отстаивать позиции в интересах компании.
Легко обучаюсь, быстро схватываю информацию и знания.
Активно проявляю инициативу в креативных идеях выполнения плана, с огромным желанием помогаю руководителям с дополнительной работой.
Помимо этого обладаю высокой степенью самоорганизации и скоростью работы, что помогает идеально планировать рабочее время.
Занимаюсь активными видами спорта, стараюсь всегда поддерживать себя в тонусе.Ответственно отношусь не только к работе, но и к жизни, считаю себя достаточносамостоятельной, имею желание профессионального развития и творческой реализации.
Стремление к самосовершенствованию, саморазвитию и карьерному росту.
Готова к большим объемам работ
-Работа с новой и наработанной базой|-Развитие плодотворного сотрудничества с действующими Клиентами| -Проведение обучения для сотрудников смежных подразделений| -Активные продажи продукта торговый эквайринг|"
460,"Учет расчетов с поставщиками, обработка первичных документов.
Формирование папок для хранения первичных документов.
Ведение журнала учета первичных документов.
Учет основных средств, материалов, ТМЦ.
Проведение инвентаризаций и сверок с контрагентами.Учет бланков строгой отчетности, расчетов с подотчетными лицами, учет расчетов с арендаторами, учет заготовки и реализации донорской крови, расчёты по забалансовому счету ""08"" - Путёвки не оплаченные.
Учет бланков строгой отчетности (бланки донорских справок по ф.401/у и ф.402/у.
Учет расходов по статьям затрат для бухгалтерского и налогового учета.
Учет расходов будущих периодов.| Подготовка и проверка документов по НДС.
Ведение книг и журналов по НДС.
Составление и сдача декларации по НДС, Налогу на прибыль, Налогу на имущество организаций.| Ведение учета в программе Парус Бюджет 7.7| Контроль работы администраторов - кассиров, контроль возвратов денежных средств в программе 1С Медицина.
Больница.
Касса
Проведение инвентаризаций и сверок с контрагентами.
Ведение учета в программе Парус Бюджет 7.7 Подготовка и проверка документов по НДС.
Составление и сдача декларации по НДС
Контроль ведения бухгалтерского учета расчетов за оказанные услуги.
Контроль подготовки бухгалтерских документов для формирования бухгалтерской отчетности.
Разработка прогрессивных методов и форм ведения бухгалтерского учета с применением современных бухгалтерских компьютерных программ и средств вычислительной техники
Учет основных средств, расчеты с дебиторами и кредиторами.
Ведение учета в программе: 1С Бюджетный учет
Администратор доходов федерального бюджета"
461,"'- прием заявок на займ и оформление документов на выдачу займа| - работа с дебиторской задолженностью
- работа с текущими клиентами и привлечение новых клиентов| - участие в разработке рекламных макетов| - контроль дебиторской задолженности| - разработка проектов, направленных на повышение продаж
- работа с действующей базой и поиск новых клиентов| - прием и обработка заказов на поставку продуктов питания| - выписка первичной бухгалтерской документации| - работа с дебиторской задолженностью"
462,"Обязанности учителя английского на время болезни основного работника среди детей от 2 до 10 классов.
ведение документации, участие в олимпиадах, внеклассная работа
Обучение английскому языку в группах и индивидуально
Обучение английскому языку
Обучение английскому языку в группах и индивидуально, учитель на замену"
463,"Контроль за соответствием объёмов работ, качеством строительно-монтажных работ, утверждённых проектом и сводной сметой, а также приемка этих работ у подрядных организаций и внутренних служб завода.
Составление дефектных ведомостей.
Надзор за состоянием зданий и сооружений.
Весенний и осенний осмотры и отчёты по состоянию зданий и сооружений.
Участие в комплексных проверках цехов"
464,"ответственность, инициативность, корпоративное мышление, креативность
контроль погрузо-разгрузочных работ и соблюдения технологий погрузки, составление отчетной документации| прием и перегон автомобилей ВАЗ, отгружаемых на экспорт
делопроизводство, телетайп
делопроизводство, обеспечение учреждения всеми необходимыми материалами, организация необходимых ремонтных работ
развоз работников по объектам, обеспечение всеми необходимыми подручными материалами и приспособлениями"
465,"Ответственность, стремление к профессиональному росту, повышенная работоспособность, аналитическое мышление, пунктуальность, организованность, аккуратность, умение быстро ориентироваться в ситуации
Подготовка рабочего места, поддержание чистоты| Дезинфекция инструментов| Контроль за расходом материалов и исправностью оборудования| Выполнение всех видов процедур, указанных в перечне услуг салона| Вежливое обращение с клиентом, информирование о составе процедуры и других услугах салона"
466,"Также выезжаю на вызов на дом
Кроме организационной работы, осуществляла дежурства по педиатрии (в выходные и праздничные дни, в вечернее время).
Кроме того, присутствовала на родах, в том числе оперативных, проходящих в период дежурства, оказывала новорождённому первичную помощь.
Входила в состав прививочных бригад"
467,"Проведение анестезиологического пособия при плановых и экстренных операциях хирургического и акушерско-гинекологического профиля у взрослых и детей.
Ведение больных в палате реанимации: хирургического, терапевтического, неврологического, педиатрического, акушерско-гинекологического профиля.
Оказание помощи при острых отравлениях.
Совмещал обязанности заместителя главного врача по лечебной работе
Совмещал обязанности заместителя главного врача по лечебной работе и врача трансфузиолога.
В полном объёме владею навыками и умениями по специальности анестезиология-реаниматология: - Ведение и диагностика больных со всеми видами хирургической и соматической патологии в условиях отделений анестезиологии-реанимации.
p- Пункция и катетеризация центральных вен.
- Инфузионная и трансфузионная терапия.
- Энтеральное и парентеральное питание.
- Владею современными методиками проведения респираторной поддержки, на всех типах респираторов отечественного и зарубежного производства.
- Современные подходы к тактике ведения и лечению больных реанимационного профиля в рамках последних протоколов и стандартов - Проведение анестезиологических пособий и регионарной анестезии.
- В полном объёме владею навыками работы с современной наркозно-дыхательной и следящей аппаратурой отечественного и зарубежного производства.
Имею высшую квалификационную категорию по специальности анестезиология и реанимация
Проведение анестезиологического пособия при плановых и экстренных операциях хирургического, травматологического, гинекологического, урологического профиля у взрослых и детей.
Ведение больных в палате реанимации: хирургического, травматологического, терапевтического, неврологического, педиатрического, гинекологического профиля.
Совмещал обязанности врача трансфузиолога"
468,"ответственно отношусь к работе, исполнительная
Работа с денежной наличносью
Консультация клиентов по банковским продуктам
оформление дебетовых и кредитных карт накопительных счетов и кредитов
Уборка подобных помещений
Обеспечение безопасного движения поездов
выдача справок и выписок клиентов, работа с кассовой наличностью открытие закрытие карт"
469,"умение работать в команде продвинутое владение ПК грамотная устная и письменная речь английский язык (upper-intermediate)
разработка технической документации маркетинговые исследования и анализ конкурентоспособности продукта патентные исследования рынка и работа с интеллектуальной собственностью оформление документации разработка рекламной кампании для организации сбыта продукта
сопровождение методической документации учебной части (оформление приказов, протоколов, выдача документов, составление списков, выдача справок, заполнение журналов, контроль за посещением) разработка методических рекомендаций для обучающихся и преподавателей составление программ, учебных планов формирование предложений по улучшению ведения учебного процесса проведение научно-исследовательских работ по исследованию свойств биологических тканей с помощью многофотонного и оптического когерентного томографа подготовка публикаций в индексируемых сборниках
учебно-методическая работа помощь педагогам в процессе работы организация работы учебно-вспомогательного персонала кафедры разработка методических пособий для лабораторных и практических занятий
выполнение методической работы по планированию и организации учебного процесса документальное сопровождение процесса обучения формирование и ведение личных дел студентов, учет движения студенческого контингента, работа с учебными планами подготовка статистических отчетов, ведение баз данных коммуникация со студентами и преподавателями ведение семинарских и практических занятий для студентов билингвальных программ на английском языке по курсу ""Лазерные технологии"" участие в научных исследованиях кафедры"
470,"Работа с клиентами, коммерческие предложения, поиск новых клиентов, работа с документами, работа с дебиторской задолженностью
Продажа строительных материалов, закупка, учёт, инвентаризации, работа с документами
Работа к клиентами, дебиторской задолженностью, поиск новых клиентов, выставление счетов, презентации, коммерческие предложения
Поиск новых клиентов, выставление счетов, работа с документами, работа с дебиторской задолженностью, отчётность, составление коммерческих предложений, выполнение плановых показателей, участие в инвентаризациях"
471,"Полный цикл ведения и организации сделок купли-продажи загородной недвижимости (земельных участков).
Консультирование клиентов, выезд на показ, оформление договоров купли-продажи.|
Ведение работы по своей сети| Ведение переговоров с категорийным менеджером | Спецификация по сети (ввод, вывод, изменение цен)| Работа с ассортиментом| Работа с промо акциями
Консультирование клиентов по продуктам банков-партнеров.| Сбор необходимых документов клиента для подачи заявки для приобретиения банковского продукта| Льслеживание заявок через онлайн офис| Отправка заявки в банк на приобретение продукта клиентом| Скоринг заявок клиентов| Консультация клиента до момента заключения сделки"
